id,default_code,active,product_tmpl_id/id,barcode,combination_indices,volume,weight,base_unit_count,x_studio_item_approved_temp,x_studio_item_approved,x_studio_item_approval_request_sent,x_studio_item_approval_request_sent_temp
product_product_id_135627,33TR 20117,1,Jinasena_MasterData_Stock.product_template_lock_plate_12hp,33TR 20117,,0.0,0.0,0.0,,,,
product_product_id_135628,33TR 20118,1,Jinasena_MasterData_Stock.product_template_lock_column_12hp,33TR 20118,,0.0,0.0,0.0,,,,
product_product_id_135629,33TR 20119,1,Jinasena_MasterData_Stock.product_template_lock_pin_12hp,33TR 20119,,0.0,0.0,0.0,,,,
product_product_id_135630,33TR 20120,1,Jinasena_MasterData_Stock.product_template_lock_cover,33TR 20120,,0.0,0.0,0.0,,,,
product_product_id_135631,33TR 20121,1,Jinasena_MasterData_Stock.product_template_seat_box_long_member_12hp,33TR 20121,,0.0,0.0,0.0,,,,
product_product_id_135632,33TR 20122,1,Jinasena_MasterData_Stock.product_template_roof_cover_12hp,33TR 20122,,0.0,0.0,0.0,,,,
product_product_id_135633,33TR 20123,1,Jinasena_MasterData_Stock.product_template_seat_box_vertical_member_12hp,33TR 20123,,0.0,0.0,0.0,,,,
product_product_id_135634,33TR 20125,1,Jinasena_MasterData_Stock.product_template_roof_piller_12hp,33TR 20125,,0.0,0.0,0.0,,,,
product_product_id_135635,33TR 20126,1,Jinasena_MasterData_Stock.product_template_roof_stand_cross_bar_12hp,33TR 20126,,0.0,0.0,0.0,,,,
product_product_id_135636,33TR 20127,1,Jinasena_MasterData_Stock.product_template_seat_side_base,33TR 20127,,0.0,0.0,0.0,,,,
product_product_id_135637,33TR 20128,1,Jinasena_MasterData_Stock.product_template_chassis_long_member,33TR 20128,,0.0,0.0,0.0,,,,
product_product_id_135638,33TR 20129,1,Jinasena_MasterData_Stock.product_template_brim_edge_12hp,33TR 20129,,0.0,0.0,0.0,,,,
product_product_id_135639,33TR 20130,1,Jinasena_MasterData_Stock.product_template_bottom_cushion,33TR 20130,,0.0,0.0,0.0,,,,
product_product_id_135640,33TR 20131,1,Jinasena_MasterData_Stock.product_template_seat_bottom_base,33TR 20131,,0.0,0.0,0.0,,,,
product_product_id_135641,33TR 20132,1,Jinasena_MasterData_Stock.product_template_brim_support_holder,33TR 20132,,0.0,0.0,0.0,,,,
product_product_id_135642,33TR 20133,1,Jinasena_MasterData_Stock.product_template_side_cushion,33TR 20133,,0.0,0.0,0.0,,,,
product_product_id_135643,33TR 20134,1,Jinasena_MasterData_Stock.product_template_bottom_cushion_cover,33TR 20134,,0.0,0.0,0.0,,,,
product_product_id_135644,33TR 20135,1,Jinasena_MasterData_Stock.product_template_side_cushion_cover,33TR 20135,,0.0,0.0,0.0,,,,
product_product_id_135645,33TR 20140,1,Jinasena_MasterData_Stock.product_template_carrier_floor_board,33TR 20140,,0.0,0.0,0.0,,,,
product_product_id_135646,33TR 20141,1,Jinasena_MasterData_Stock.product_template_operator_floor_board,33TR 20141,,0.0,0.0,0.0,,,,
product_product_id_135647,33TR 20142,1,Jinasena_MasterData_Stock.product_template_side_cover_long,33TR 20142,,0.0,0.0,0.0,,,,
product_product_id_135648,33TR 20143,1,Jinasena_MasterData_Stock.product_template_side_cover_short,33TR 20143,,0.0,0.0,0.0,,,,
product_product_id_135649,33TR 20144,1,Jinasena_MasterData_Stock.product_template_brim_cover,33TR 20144,,0.0,0.0,0.0,,,,
product_product_id_135650,33TR 20145,1,Jinasena_MasterData_Stock.product_template_door_cover,33TR 20145,,0.0,0.0,0.0,,,,
product_product_id_135651,33TR 20201,1,Jinasena_MasterData_Stock.product_template_carrier_floor_board_12hp,33TR 20201,,0.0,0.0,0.0,,,,
product_product_id_135652,33TR 20202,1,Jinasena_MasterData_Stock.product_template_operator_floor_board_12hp,33TR 20202,,0.0,0.0,0.0,,,,
product_product_id_135653,33TR 20203,1,Jinasena_MasterData_Stock.product_template_side_cover_long_12hp,33TR 20203,,0.0,0.0,0.0,,,,
product_product_id_135654,33TR 20204,1,Jinasena_MasterData_Stock.product_template_side_cover_short_12hp,33TR 20204,,0.0,0.0,0.0,,,,
product_product_id_135655,33TR 20205,1,Jinasena_MasterData_Stock.product_template_brim_cover_12hp,33TR 20205,,0.0,0.0,0.0,,,,
product_product_id_135656,33TR 20206,1,Jinasena_MasterData_Stock.product_template_door_cover_12hp,33TR 20206,,0.0,0.0,0.0,,,,
product_product_id_135657,33TR 20401,1,Jinasena_MasterData_Stock.product_template_brake_padel_arm_12hp,33TR 20401,,0.0,0.0,0.0,,,,
product_product_id_135658,33TR 20402,1,Jinasena_MasterData_Stock.product_template_brake_padel_plate_12hp,33TR 20402,,0.0,0.0,0.0,,,,
